State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
MO,Douglas,4882,5898,1016,7000,747,2921,1796,4289,2544,1008,18.6,44.5,26.4,10.5
NV,Douglas,10059,21630,11571,34125,2394,2921,2284,8797,14903,10552,6.3,24.1,40.8,28.9
OR,Douglas,24138,43298,19160,64349,0,2921,8699,25912,31547,13706,10.9,32.4,39.5,17.2
SD,Douglas,1252,1468,216,1707,373,2921,256,759,705,351,12.4,36.6,34,16.9
WA,Douglas,5144,12955,7811,21308,1644,2921,4919,7855,9086,5201,18.2,29,33.6,19.2
WI,Douglas,-2295,10923,13218,24677,3563,2921,2031,9580,11841,7388,6.6,31.1,38.4,24
SD,Edmunds,1121,1538,417,1985,354,3829,262,951,794,687,9.7,35.3,29.5,25.5
SD,Fall River,1825,2878,1053,4042,478,6713,398,1650,2010,1110,7.7,31.9,38.9,21.5
SD,Faulk,766,964,198,1182,156,2299,119,549,503,477,7.2,33.3,30.5,28.9
AR,Grant,5526,6794,1268,8200,997,7052,1065,5517,3625,2287,8.5,44.2,29,18.3
IN,Grant,10528,18543,8015,27159,6158,7052,5767,18007,13006,7584,13,40.6,29.3,17.1
KS,Grant,1413,1910,497,2452,950,7052,1201,1264,1368,697,26.5,27.9,30.2,15.4
MN,Grant,969,2269,1300,3654,444,7052,270,1427,1716,822,6.4,33.7,40.5,19.4
NM,Grant,-1037,6553,7590,14435,1292,7052,2578,5107,6860,5461,12.9,25.5,34.3,27.3
ND,Grant,938,1145,207,1381,181,7052,157,664,648,310,8.8,37.3,36.4,17.4
OR,Grant,2616,3545,929,4596,0,7052,617,1832,2012,1034,11.2,33.3,36.6,18.8
SD,Grant,1562,2618,1056,3745,816,7052,465,2204,1510,881,9.2,43.6,29.8,17.4
WA,Grant,12945,24764,11819,37680,6005,7052,13685,15218,18239,10072,23.9,26.6,31.9,17.6
WV,Grant,4264,4871,607,5509,876,7052,1640,3869,1798,1231,19.2,45.3,21.1,14.4
WI,Grant,3144,14142,10998,25608,4512,7052,2448,11589,10458,7310,7.7,36.4,32.9,23
SD,Gregory,1316,1771,455,2258,476,4185,315,1016,1014,605,10.7,34.4,34.4,20.5
SD,Haakon,921,1026,105,1137,178,1899,140,642,460,221,9.6,43.9,31.4,15.1
SD,Hamlin,1725,2372,647,3083,545,6164,320,1552,1053,746,8.7,42.3,28.7,20.3
SD,Hand,1060,1433,373,1836,282,3191,148,765,881,545,6.3,32.7,37.7,23.3
SD,Hanson,1236,1793,557,2388,309,3453,146,791,717,416,7.1,38.2,34.6,20.1
NM,Harding,140,319,179,505,8,1298,46,126,118,93,12,32.9,30.8,24.3
SD,Harding,699,748,49,813,85,1298,68,300,306,238,7.5,32.9,33.6,26.1
SD,Hughes,2569,5522,2953,8723,1708,17526,942,3378,3523,4315,7.7,27.8,29,35.5
SD,Hutchinson,2182,2944,762,3767,674,7291,616,1648,1455,1274,12.3,33,29.1,25.5
TX,Hutchinson,6716,7681,965,8771,940,7291,2052,4728,5414,1947,14.5,33.4,38.3,13.8
NC,Hyde,372,1418,1046,2492,473,1301,709,1602,1182,363,18.4,41.5,30.7,9.4
SD,Hyde,428,564,136,710,118,1301,77,422,265,222,7.8,42.8,26.9,22.5
AL,Jackson,15953,19670,3717,23636,5302,3344,6526,15181,10238,5280,17.5,40.8,27.5,14.2
AR,Jackson,2228,3593,1365,5091,2388,3344,2600,5061,3408,1254,21.1,41.1,27.7,10.2
GA,Jackson,21860,29502,7642,37675,7406,3344,7216,14274,13437,9306,16.3,32.3,30.4,21
IN,Jackson,10253,14555,4302,19238,4394,3344,4002,12955,8199,4626,13.4,43.5,27.5,15.5
IA,Jackson,2911,6940,4029,11135,1993,3344,1046,5705,4313,2568,7.7,41.9,31.6,18.8
KS,Jackson,2583,4435,1852,6468,1151,3344,496,3522,3064,1921,5.5,39.1,34,21.3
MI,Jackson,15377,47372,31995,80861,13098,3344,10304,36202,39822,23483,9.4,33,36.3,21.4
MN,Jackson,2203,3948,1745,5819,817,3344,489,2435,2624,1564,6.9,34.2,36.9,22
MO,Jackson,-73307,126535,199842,333063,28474,3344,45492,133015,145567,144748,9.7,28.4,31,30.9
NC,Jackson,1765,11356,9591,21428,2275,3344,3141,7205,8407,8226,11.6,26.7,31.2,30.5
OR,Jackson,4391,63869,59478,127165,0,3344,15862,40186,54988,41866,10.4,26.3,36,27.4
SD,Jackson,379,738,359,1115,246,3344,324,623,538,384,17.3,33.3,28.8,20.5
TN,Jackson,2983,4118,1135,5323,847,3344,1846,4014,1942,772,21.5,46.8,22.6,9
TX,Jackson,4198,5231,1033,6340,1359,3344,1651,3243,3359,1587,16.8,33,34.1,16.1
WV,Jackson,6886,10093,3207,13508,1412,3344,2623,9076,5374,3533,12.7,44,26.1,17.1
WI,Jackson,1535,5791,4256,10184,2548,3344,1676,5781,4921,2089,11.6,40,34,14.4
SD,Jerauld,451,721,270,1006,173,2013,168,609,406,310,11.3,40.8,27.2,20.8
GA,Jones,5058,9940,4882,14934,1385,903,2472,7169,5979,3924,12.6,36.7,30.6,20.1
IA,Jones,2359,6572,4213,10989,2786,903,1212,5809,4905,2697,8.3,39.7,33.5,18.4
NC,Jones,1083,3280,2197,5525,453,903,1337,2213,2771,950,18.4,30.4,38.1,13.1
SD,Jones,408,498,90,599,65,903,36,257,166,145,6,42.5,27.5,24
TX,Jones,4661,5660,999,6741,2063,903,3181,5923,3922,1689,21.6,40.3,26.7,11.5
SD,Kingsbury,1085,1904,819,2779,443,4939,307,1342,1087,805,8.7,37.9,30.7,22.7
CA,Lake,-1818,13123,14941,28800,2826,12797,6872,13951,18247,7324,14.8,30.1,39.3,15.8
IL,Lake,-80438,123594,204032,334156,52129,12797,43138,96532,111551,205787,9.4,21.1,24.4,45
IN,Lake,-33110,91760,124870,219956,46550,12797,39031,114444,101349,72259,11.9,35,31,22.1
MI,Lake,1658,3946,2288,6323,329,12797,1538,3848,2632,1019,17,42.6,29.1,11.3
MN,Lake,-254,3393,3647,7202,592,12797,323,2554,2811,2415,4,31.5,34.7,29.8
MT,Lake,2406,9322,6916,16626,1800,12797,1790,6056,6816,5708,8.8,29.7,33.5,28
OR,Lake,2678,3470,792,4363,0,12797,772,2089,2120,910,13.1,35.5,36,15.4
SD,Lake,1613,3681,2068,5873,999,12797,664,2978,2125,2824,7.7,34.7,24.7,32.9
TN,Lake,966,1492,526,2034,1471,12797,1498,2480,1092,591,26.5,43.8,19.3,10.4
AL,Lawrence,8760,12322,3562,16031,2169,25844,4919,9710,6028,2738,21,41.5,25.8,11.7
AR,Lawrence,3489,4569,1080,5857,1576,25844,1636,4551,3393,1696,14.5,40.4,30.1,15
IN,Lawrence,10640,15601,4961,21025,4020,25844,3688,13939,9519,4996,11.5,43.4,29.6,15.5
MO,Lawrence,11212,14426,3214,17905,2646,25844,4277,9441,7879,3902,16.8,37,30.9,15.3
PA,Lawrence,13619,29597,15978,46076,4211,25844,6132,27175,15886,13379,9.8,43.4,25.4,21.4
SD,Lawrence,4216,8753,4537,13828,2491,25844,1118,5239,5064,6067,6.4,30,29,34.7
TN,Lawrence,12139,15334,3195,18718,4232,25844,5045,12953,7286,3604,17.5,44.8,25.2,12.5
AR,Lincoln,1697,2729,1032,3875,2741,61128,1910,5127,2259,903,18.7,50.3,22.1,8.9
GA,Lincoln,1741,3173,1432,4641,452,61128,1005,2365,1575,769,17.6,41.4,27.6,13.5
ID,Lincoln,1055,1469,414,1940,367,61128,671,1128,1129,330,20.6,34.6,34.7,10.1
KS,Lincoln,1007,1273,266,1570,249,61128,137,686,849,488,6.3,31.8,39.3,22.6
ME,Lincoln,-2428,10256,12684,23594,417,61128,1877,8674,7034,8561,7.2,33.2,26.9,32.7
MN,Lincoln,1184,2121,937,3115,484,61128,350,1542,1397,741,8.7,38.3,34.7,18.4
MO,Lincoln,15241,21848,6607,29018,4094,61128,4273,15381,11028,5802,11.7,42.2,30.2,15.9
MT,Lincoln,5837,8672,2835,11747,1398,61128,1798,5162,4822,2988,12.2,34.9,32.6,20.2
NV,Lincoln,1737,2067,330,2446,344,61128,540,1225,1317,665,14.4,32.7,35.1,17.7
NM,Lincoln,3748,6942,3194,10306,1446,61128,1240,4258,4848,4290,8.5,29.1,33.1,29.3
NC,Lincoln,23067,36341,13274,50217,7417,61128,8357,18013,19152,12375,14.4,31.1,33.1,21.4
OR,Lincoln,-4925,12460,17385,30726,0,61128,3468,10126,14354,8886,9.4,27.5,39,24.1
SD,Lincoln,7636,19617,11981,32396,6890,61128,1815,7635,11868,13882,5.2,21.7,33.7,39.4
TN,Lincoln,9362,12281,2919,15608,3115,61128,4008,9664,5617,4454,16.9,40.7,23.7,18.8
WA,Lincoln,3437,5150,1713,7033,303,61128,653,2173,2963,1788,8.6,28.7,39.1,23.6
WV,Lincoln,4301,6012,1711,7830,998,61128,2850,6977,3772,1296,19.1,46.8,25.3,8.7
WI,Lincoln,3756,10017,6261,16497,2807,61128,1799,7932,7095,3757,8.7,38.5,34.5,18.3
WY,Lincoln,7134,8643,1509,10468,983,61128,777,3998,4964,2841,6.2,31.8,39.5,22.6
SD,Lyman,517,1042,525,1597,525,3781,237,915,773,475,9.9,38.1,32.2,19.8
SD,McCook,1299,2068,769,2900,667,5586,443,1234,1092,846,12.3,34.1,30.2,23.4
KS,McPherson,5585,9562,3977,13868,2947,2379,1681,5272,6767,5600,8.7,27.3,35,29
SD,McPherson,853,1075,222,1324,196,2379,290,581,595,287,16.5,33.1,33.9,16.4
AL,Marshall,27248,33191,5943,39655,9379,4935,12151,19818,19442,12233,19.1,31.1,30.5,19.2
IN,Marshall,8132,13844,5712,19927,5185,4935,4678,12010,7781,6293,15.2,39,25.3,20.5
IA,Marshall,1395,9571,8176,18136,4397,4935,4362,9093,8156,5065,16.4,34.1,30.6,19
KS,Marshall,2423,3662,1239,5023,1020,4935,505,2981,2125,1282,7.3,43.2,30.8,18.6
MN,Marshall,2426,3721,1295,5113,691,4935,752,2411,2154,1251,11.4,36.7,32.8,19
SD,Marshall,429,1287,858,2178,268,4935,256,1060,1168,786,7.8,32.4,35.7,24
TN,Marshall,7438,11043,3605,14878,3042,4935,3363,9354,6262,3179,15.2,42.2,28.3,14.3
WV,Marshall,6980,10435,3455,14080,2118,4935,2088,9969,6762,4273,9,43.2,29.3,18.5
KS,Meade,1247,1508,261,1807,476,28332,481,796,914,552,17.5,29,33.3,20.1
SD,Meade,6590,9875,3285,13670,2214,28332,992,5482,6555,4864,5.5,30.6,36.6,27.2
SD,Mellette,151,449,298,769,191,2061,237,465,379,171,18.9,37.1,30.3,13.7
SD,Miner,467,787,320,1138,186,2216,184,558,497,313,11.9,36,32,20.2
SD,Minnehaha,8767,49249,40482,92326,25684,193134,9551,33305,40496,39068,7.8,27.2,33.1,31.9
SD,Moody,772,1951,1179,3206,537,6576,418,1450,1628,929,9.4,32.8,36.8,21
SD,Oglala Lakota,-2532,297,2829,3200,1950,14177,1732,1827,2811,849,24,25.3,38.9,11.8
MN,Pennington,1964,4532,2568,7277,927,113775,728,3285,3762,1958,7.5,33.8,38.7,20.1
SD,Pennington,14457,35063,20606,57518,10509,113775,4623,21310,25682,22814,6.2,28.6,34.5,30.7
SD,Perkins,1162,1401,239,1669,293,2865,127,762,755,410,6.2,37.1,36.8,20
PA,Potter,5513,7239,1726,9064,741,2153,1444,5781,3069,1882,11.9,47.5,25.2,15.5
SD,Potter,912,1139,227,1380,274,2153,145,603,563,366,8.6,36,33.6,21.8
TX,Potter,12899,22820,9921,33321,16462,2153,17224,24126,23670,11290,22.6,31.6,31,14.8
SD,Roberts,576,2404,1828,4307,1020,10394,756,2334,2338,1130,11.5,35.6,35.7,17.2
TX,Roberts,512,529,17,550,50,10394,51,157,210,149,9,27.7,37,26.3
SD,Sanborn,648,905,257,1185,226,2344,140,664,529,328,8.4,40,31.8,19.7
SD,Spink,1106,2104,998,3163,625,6376,403,1631,1440,990,9,36.5,32.3,22.2
SD,Stanley,782,1203,421,1652,231,3098,123,688,618,651,5.9,33.1,29.7,31.3
SD,Sully,541,726,185,930,98,1391,43,316,320,232,4.7,34.7,35.1,25.5
MN,Todd,6467,9753,3286,13257,2325,10177,2182,6116,5901,2609,13,36.4,35.1,15.5
SD,Todd,-1431,532,1963,2539,1094,10177,1097,1464,1613,785,22.1,29.5,32.5,15.8
SD,Tripp,1666,2161,495,2696,553,5441,362,1560,1108,830,9.4,40.4,28.7,21.5
GA,Turner,940,2349,1409,3791,569,8384,966,2216,1615,685,17.6,40.4,29.5,12.5
SD,Turner,2151,3290,1139,4548,649,8384,380,1913,2146,1342,6.6,33.1,37.1,23.2
AR,Union,4894,10478,5584,16607,2583,15932,4129,9543,7769,5638,15.2,35.2,28.7,20.8
GA,Union,9850,12650,2800,15558,1777,15932,1958,6053,5721,3971,11.1,34.2,32.3,22.4
IN,Union,1952,2688,736,3483,636,15932,573,2413,1188,849,11.4,48,23.7,16.9
IA,Union,1949,4010,2061,6185,1146,15932,829,3078,3122,1461,9.8,36.3,36.8,17.2
KY,Union,3436,4965,1529,6577,1153,15932,1206,4385,2913,1056,12.6,45.9,30.5,11
NJ,Union,-90243,80002,170245,254041,44738,15932,51661,107744,84165,131578,13.8,28.7,22.4,35.1
NM,Union,1005,1388,383,1789,376,15932,616,1295,774,389,20,42.1,25.2,12.7
NC,Union,31657,80382,48725,131011,16999,15932,14675,35959,43240,50162,10.2,25,30,34.8
OR,Union,6044,10298,4254,14944,941,15932,1332,5656,6042,4287,7.7,32.7,34.9,24.8
PA,Union,4881,12356,7475,20115,3527,15932,4159,11856,6723,7800,13.6,38.8,22,25.5
SC,Union,3248,8183,4935,13257,2010,15932,3640,7795,5778,2378,18.6,39.8,29.5,12.1
SD,Union,3219,5944,2725,8855,1599,15932,850,2886,3517,3174,8.2,27.7,33.7,30.4
TN,Union,5554,6803,1249,8123,1301,15932,3236,6263,2954,1162,23.8,46,21.7,8.5
SD,Walworth,1401,1966,565,2580,640,5435,384,1498,1102,902,9.9,38.5,28.4,23.2
WI,Walworth,11062,33851,22789,57600,9437,5435,6394,21394,20787,19204,9.4,31.6,30.7,28.3
SD,Yankton,2565,6581,4016,10900,2635,22814,1435,5228,4707,4467,9.1,33,29.7,28.2
SD,Ziebach,-77,404,481,906,220,2756,253,599,482,260,15.9,37.6,30.2,16.3
KS,Anderson,2109,2874,765,3720,167,76978,454,2161,1682,913,8.7,41.5,32.3,17.5
SC,Anderson,40396,67565,27169,96093,16482,76978,20842,41963,42757,28714,15.5,31.3,31.8,21.4
TN,Anderson,11443,23184,11741,35570,5688,76978,7138,17882,16292,12661,13.2,33.1,30.2,23.5
TX,Anderson,11155,15110,3955,19227,4644,76978,8351,15224,13503,4931,19.9,36.2,32.1,11.7
PA,Bedford,18658,23025,4367,27574,2685,49713,4428,18114,7791,5020,12.5,51.2,22,14.2
TN,Bedford,9901,14354,4453,19088,4513,49713,6015,12740,7509,5106,19.2,40.6,23.9,16.3
AR,Benton,31716,73965,42249,119912,19282,16160,20120,49182,44756,54780,11.9,29.1,26.5,32.4
IN,Benton,1998,3007,1009,4114,890,16160,614,2516,1710,985,10.5,43.2,29.4,16.9
IA,Benton,4028,9188,5160,14642,2181,16160,1085,6420,6167,3999,6.1,36.3,34.9,22.6
MN,Benton,7102,14382,7280,22260,4094,16160,2027,8233,10274,5979,7.6,31.1,38.8,22.6
MO,Benton,5929,8109,2180,10476,1392,16160,2068,5974,4632,1965,14.1,40.8,31.6,13.4
OR,Benton,-20949,14878,35827,52799,0,16160,2479,7563,15157,29165,4.6,13.9,27.9,53.6
TN,Benton,4139,5668,1529,7260,1177,16160,2263,5500,2576,1484,19.1,46.5,21.8,12.6
WA,Benton,21659,60365,38706,103033,13804,16160,12365,30438,45039,37566,9.9,24.3,35.9,30
TN,Bledsoe,3754,4725,971,5758,1710,15064,2795,4318,2605,1433,25.1,38.7,23.4,12.9
AL,Blount,22071,24711,2640,27588,4381,133088,7861,13489,13267,5010,19.8,34,33.5,12.6
TN,Blount,29437,47369,17932,66609,11124,133088,9996,31875,27833,22022,10.9,34.8,30.3,24
AR,Bradley,1121,2335,1214,3654,945,108110,1352,3120,1880,1142,18,41.6,25.1,15.2
TN,Bradley,25353,35204,9851,45865,9929,108110,11143,22898,21332,15569,15.7,32.3,30.1,21.9
SD,Campbell,630,747,117,873,120,39842,117,399,253,311,10.8,36.9,23.4,28.8
TN,Campbell,9890,12331,2441,14933,2077,39842,6979,11681,6483,3397,24.5,40.9,22.7,11.9
WY,Campbell,15040,16975,1935,19566,4168,39842,2345,10364,11884,5862,7.7,34,39,19.2
TN,Cannon,3929,5190,1261,6557,1367,14678,1589,4842,2174,1380,15.9,48.5,21.8,13.8
AR,Carroll,3401,7424,4023,11797,2210,27767,2788,6788,6055,4015,14.2,34.6,30.8,20.4
GA,Carroll,21240,37476,16236,54472,6475,27767,11868,24160,21819,14982,16.3,33.2,30,20.6
IN,Carroll,4862,7086,2224,9495,1663,27767,1511,5684,4353,2401,10.8,40.7,31.2,17.2
IA,Carroll,4283,7737,3454,11335,2597,27767,892,5013,4823,3070,6.5,36.3,35,22.2
MD,Carroll,23762,60218,36456,100327,6983,27767,9045,34707,30950,41280,7.8,29.9,26.7,35.6
MO,Carroll,2920,3706,786,4532,796,27767,835,2796,1501,1054,13.5,45.2,24.3,17
TN,Carroll,6646,9205,2559,11905,2256,27767,3479,8060,4527,3326,17.9,41.6,23.3,17.2
MO,Carter,2033,2451,418,2897,409,56391,708,1568,1231,694,16.9,37.3,29.3,16.5
MT,Carter,701,775,74,864,139,56391,70,357,386,172,7.1,36.2,39.2,17.5
TN,Carter,15055,19584,4529,24492,4698,56391,7154,16384,11061,6964,17.2,39.4,26.6,16.8
TN,Cheatham,8924,14438,5514,20260,2912,40667,4178,10120,8053,5443,15,36.4,29,19.6
PA,Chester,-53807,128565,182372,315753,24329,17297,23654,75080,70157,181587,6.7,21.4,20,51.8
SC,Chester,1719,8660,6941,15757,3009,17297,3969,9199,6077,3057,17.8,41.2,27.2,13.7
TN,Chester,4540,5952,1412,7584,1338,17297,1512,4478,3208,1800,13.7,40.7,29.2,16.4
TN,Claiborne,8402,10604,2202,12945,1646,31959,4425,8684,6050,3432,19.6,38.4,26.8,15.2
AL,Clay,4334,5601,1267,6930,1073,7615,2275,3366,2700,944,24.5,36.3,29.1,10.2
AR,Clay,3124,4086,962,5183,1201,7615,2047,4363,2944,1228,19.3,41.2,27.8,11.6
GA,Clay,-154,637,791,1435,171,7615,443,927,647,173,20.2,42.3,29.5,7.9
IN,Clay,6947,9499,2552,12267,2293,7615,1520,8082,5530,3061,8.4,44.4,30.4,16.8
IA,Clay,3475,6137,2662,8969,1761,7615,745,3906,4210,2584,6.5,34.1,36.8,22.6
KS,Clay,2246,3129,883,4134,787,7615,397,1688,2044,1542,7,29.8,36,27.2
MN,Clay,-1314,15043,16357,32239,6543,7615,1950,9675,13699,12747,5.1,25.4,36,33.5
MO,Clay,5205,64605,59400,126569,7502,7615,11012,46437,50816,52696,6.8,28.8,31.6,32.7
NC,Clay,3413,5112,1699,6893,536,7615,958,2834,2616,1890,11.5,34.2,31.5,22.8
SD,Clay,-627,2456,3083,5698,1601,7615,286,1510,1793,3372,4.1,21.7,25.8,48.4
TN,Clay,1998,2733,735,3506,673,7615,1084,2579,1114,818,19.4,46.1,19.9,14.6
TX,Clay,4455,5069,614,5741,874,7615,703,2958,2440,1393,9.4,39.5,32.6,18.6
WV,Clay,2038,2679,641,3365,311,7615,1503,3302,785,586,24.3,53.5,12.7,9.5
TN,Cocke,9629,12162,2533,14859,2637,36004,5440,11539,5691,2738,21.4,45.4,22.4,10.8
AL,Coffee,11823,16899,5076,22275,3283,56520,4833,9723,12181,8175,13.8,27.9,34.9,23.4
GA,Coffee,6067,10578,4511,15214,3982,56520,6311,10771,7142,3683,22.6,38.6,25.6,13.2
TN,Coffee,12178,17883,5705,24282,4304,56520,5095,14366,10368,7266,13.7,38.7,27.9,19.6
TN,Crockett,3291,4673,1382,6114,1137,14230,1858,4126,2581,1281,18.9,41.9,26.2,13
TX,Crockett,876,1220,344,1574,216,14230,508,822,731,338,21.2,34.3,30.5,14.1
KY,Cumberland,2261,2769,508,3309,613,60520,893,1966,1248,618,18.9,41.6,26.4,13.1
ME,Cumberland,-69175,59584,128759,193765,9168,60520,10387,46659,54577,97804,5,22.3,26.1,46.7
NJ,Cumberland,-3790,28952,32742,62575,10824,60520,22944,40015,25708,15244,22.1,38.5,24.7,14.7
NC,Cumberland,-24437,60032,84469,147150,18672,60520,19001,52253,82315,51252,9.3,25.5,40.2,25
PA,Cumberland,14967,77212,62245,141595,12160,60520,13275,56940,40782,61933,7.7,32.9,23.6,35.8
TN,Cumberland,18440,25168,6728,32279,4829,60520,6218,17760,12341,8118,14,40,27.8,18.3
NC,Davidson,42022,64658,22636,88514,11856,694144,19082,38062,36809,21270,16.6,33,31.9,18.5
TN,Davidson,-99485,100218,199703,309658,71599,694144,53735,106640,120319,189249,11.4,22.7,25.6,40.3
GA,Decatur,1973,6755,4782,11625,1972,11663,3272,6428,5505,2592,18.4,36.1,30.9,14.6
IN,Decatur,7136,9575,2439,12287,2551,11663,1612,7798,4897,3493,9.1,43.8,27.5,19.6
IA,Decatur,1495,2615,1120,3804,514,11663,550,1828,1342,1143,11.3,37.6,27.6,23.5
KS,Decatur,1024,1232,208,1458,201,11663,188,702,763,507,8.7,32.5,35.3,23.5
TN,Decatur,3325,4229,904,5241,1147,11663,1375,3651,2254,1064,16.5,43.8,27,12.8
AL,DeKalb,20486,24767,4281,29356,7066,20490,12394,15956,13441,6085,25.9,33.3,28.1,12.7
GA,DeKalb,-249785,58377,308162,370746,47091,20490,55530,104713,124874,218302,11,20.8,24.8,43.4
IL,DeKalb,-2738,21905,24643,47989,7998,20490,4672,15626,21811,19254,7.6,25.5,35.5,31.4
IN,DeKalb,9271,14237,4966,19628,3596,20490,2800,12002,8821,5082,9.8,41.8,30.7,17.7
MO,DeKalb,2898,3828,930,4843,902,20490,1212,4279,2492,1442,12.9,45.4,26.4,15.3
TN,DeKalb,4922,6672,1750,8513,1926,20490,2799,5894,3078,2187,20.1,42.2,22.1,15.7
TN,Dickson,11537,17643,6106,24323,4291,53948,6015,14665,9400,5478,16.9,41.2,26.4,15.4
TN,Dyer,8610,11768,3158,15079,3366,37159,4416,9511,7228,4310,17.3,37.3,28.4,16.9
AL,Fayette,5905,7300,1395,8766,1529,41133,2060,4868,3273,1516,17.6,41.5,27.9,12.9
GA,Fayette,4894,37956,33062,71994,5180,41133,3926,15659,20775,35115,5.2,20.7,27.5,46.5
IN,Fayette,5518,7755,2237,10136,2562,41133,2837,6985,4546,1894,17.4,43,28,11.6
IA,Fayette,2310,6145,3835,10186,1697,41133,1096,5375,4619,2740,7.9,38.9,33.4,19.8
KY,Fayette,-31740,58860,90600,152912,29549,41133,18841,41328,57520,88572,9.1,20,27.9,42.9
PA,Fayette,20783,41227,20444,62139,6936,41133,11063,47524,22429,15674,11.4,49.2,23.2,16.2
TN,Fayette,8663,15690,7027,22984,3749,41133,3869,9560,9225,6269,13.4,33.1,31.9,21.7
TX,Fayette,7510,10171,2661,12941,1286,41133,2846,7265,4653,3262,15.8,40.3,25.8,18.1
WV,Fayette,6517,11580,5063,16862,2067,41133,5633,13673,7696,4826,17.7,43,24.2,15.2
TN,Fentress,6227,7441,1214,8729,1944,18523,2570,5638,2795,1733,20.2,44.3,21.9,13.6
AL,Franklin,8290,10376,2086,12578,3227,42208,4835,7666,5632,2679,23.2,36.8,27.1,12.9
AR,Franklin,4377,5677,1300,7129,1135,42208,2106,4844,3701,1423,17.4,40.1,30.7,11.8
GA,Franklin,7476,9069,1593,10765,2118,42208,3072,6169,4047,2077,20,40.1,26.3,13.5
ID,Franklin,5188,5845,657,6664,810,42208,694,2869,2909,1427,8.8,36.3,36.8,18.1
IN,Franklin,7554,9691,2137,12000,1538,42208,1845,6674,3986,3083,11.8,42.8,25.6,19.8
IA,Franklin,1796,3422,1626,5130,1057,42208,672,2566,2629,1264,9.4,36,36.9,17.7
KS,Franklin,4703,8326,3623,12247,2248,42208,1261,6615,5812,3315,7.4,38.9,34.2,19.5
ME,Franklin,685,8754,8069,17390,628,42208,1584,8013,6475,5474,7.4,37.2,30.1,25.4
MA,Franklin,-18829,11201,30030,42458,1787,42208,3670,14911,14843,19786,6.9,28,27.9,37.2
MO,Franklin,23489,38058,14569,53685,8052,42208,8476,23225,24949,14241,12,32.8,35.2,20.1
NY,Franklin,415,9668,9253,19268,1571,42208,4702,13421,10631,6934,13.2,37.6,29.8,19.4
NC,Franklin,5022,20901,15879,37351,4546,42208,7114,13198,14976,9526,15.9,29.5,33.4,21.3
PA,Franklin,34823,57245,22422,80783,10040,42208,13451,45685,25413,22455,12.6,42.7,23.7,21
TN,Franklin,9123,13987,4864,19132,3706,42208,3616,11350,7516,5876,12.8,40,26.5,20.7
TX,Franklin,3357,4161,804,5009,432,42208,820,2175,2550,1715,11.3,30,35.1,23.6
WA,Franklin,4699,18039,13340,32404,10287,42208,13130,13527,16428,9026,25.2,26,31.5,17.3
IN,Gibson,7794,11817,4023,16161,3868,49133,2072,9075,7726,3989,9.1,39.7,33.8,17.4
TN,Gibson,10488,16259,5771,22335,3644,49133,5027,12900,9379,5929,15.1,38.8,28.2,17.8
TN,Giles,6486,9784,3298,13203,2918,29464,3016,9065,5393,3116,14.6,44,26.2,15.1
TN,Grainger,7098,8565,1467,10134,1727,23320,3471,7278,4023,1744,21,44.1,24.4,10.6
AL,Greene,-3009,875,3884,4775,679,69069,1406,2149,1689,589,24.1,36.8,29,10.1
AR,Greene,9612,12670,3058,16100,4409,69069,3767,13130,8074,4734,12.7,44.2,27.2,15.9
GA,Greene,2979,7066,4087,11244,1292,69069,2133,4259,2998,3273,16.8,33.6,23.7,25.8
IN,Greene,7714,11103,3389,14784,2485,69069,2803,9505,7123,3369,12.3,41.7,31.2,14.8
IA,Greene,1454,3223,1769,5057,705,69069,399,2486,2136,1265,6.3,39.5,34,20.1
MO,Greene,28562,83630,55068,141800,26127,69069,15773,52936,62556,56756,8.4,28.2,33.3,30.2
NY,Greene,3925,14271,10346,25194,2369,69069,4523,13526,9555,7823,12.8,38.2,27,22.1
NC,Greene,1042,4874,3832,8753,1735,69069,3870,4861,4640,1571,25.9,32.5,31.1,10.5
PA,Greene,7668,12579,4911,17669,1790,69069,3317,12222,6014,4810,12.6,46.4,22.8,18.2
TN,Greene,17060,22259,5199,28087,5504,69069,8117,20945,12752,7564,16.4,42.4,25.8,15.3
IA,Grundy,2723,4929,2206,7276,1243,13427,500,2660,3047,2417,5.8,30.8,35.3,28
MO,Grundy,2786,3585,799,4437,802,13427,819,2704,1969,1272,12.1,40,29.1,18.8
TN,Grundy,3814,4802,988,5855,1296,13427,2274,3936,1997,1132,24.3,42.1,21.4,12.1
TN,Hamblen,13311,18811,5500,24631,5561,64934,8179,17576,10870,7024,18.7,40.3,24.9,16.1
IN,Hamilton,13197,101587,88390,193999,30388,367804,7379,31326,47674,118226,3.6,15.3,23.3,57.8
IA,Hamilton,2113,4956,2843,7943,1651,367804,691,3319,3985,2560,6.5,31.4,37.8,24.3
KS,Hamilton,550,684,134,837,18,367804,354,555,385,288,22.4,35.1,24.3,18.2
NE,Hamilton,3191,4309,1118,5566,864,367804,334,1919,2367,1624,5.3,30.7,37.9,26
