State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
SD,Brown,4042,10580,6538,17547,4461,25008,1746,7804,8504,7497,6.8,30.5,33.3,29.3
TX,Brown,11591,13698,2107,15969,1822,25008,3564,9180,8006,4972,13.9,35.7,31.1,19.3
WI,Brown,10360,75871,65511,144017,29328,25008,13920,52309,55532,51205,8,30.2,32.1,29.6
MN,Carlton,-307,9791,10098,20369,2482,35871,1460,8470,9294,5571,5.9,34.2,37.5,22.5
MN,Carver,3235,34009,30774,66361,6723,105089,2346,12334,19051,31252,3.6,19,29.3,48.1
IN,Cass,6248,10552,4304,15198,5039,29779,4098,9931,8303,3616,15.8,38.3,32,13.9
IA,Cass,2768,4969,2201,7276,1182,29779,1109,3568,2891,1849,11.8,37.9,30.7,19.6
MI,Cass,7569,16699,9130,26216,3406,29779,4441,12159,13005,6975,12.1,33.2,35.6,19.1
MN,Cass,5278,11620,6342,18289,2063,29779,1750,7001,7602,4731,8.3,33.2,36.1,22.4
MO,Cass,18145,37197,19052,57408,6909,29779,5293,22934,22980,18128,7.6,33.1,33.1,26.1
NE,Cass,5384,10121,4737,15326,2049,29779,896,5272,6612,4824,5.1,29.9,37.6,27.4
ND,Cass,2308,42619,40311,86053,20443,29779,5990,21590,38753,43120,5.5,19.7,35.4,39.4
TX,Cass,8238,11033,2795,13927,1064,29779,3067,9155,5458,3459,14.5,43.3,25.8,16.4
MI,Chippewa,4033,10681,6648,17642,3568,11800,2649,9074,8767,5462,10.2,35,33.8,21
MN,Chippewa,2024,4250,2226,6611,1296,11800,771,2965,2948,1581,9.3,35.9,35.7,19.1
WI,Chippewa,7334,21317,13983,35938,6833,11800,3322,16190,16081,8957,7.5,36.3,36.1,20.1
MN,Chisago,10110,21916,11806,34570,4413,56579,2145,12797,15123,7737,5.7,33.9,40,20.5
AL,Clay,4334,5601,1267,6930,1073,64222,2275,3366,2700,944,24.5,36.3,29.1,10.2
AR,Clay,3124,4086,962,5183,1201,64222,2047,4363,2944,1228,19.3,41.2,27.8,11.6
GA,Clay,-154,637,791,1435,171,64222,443,927,647,173,20.2,42.3,29.5,7.9
IN,Clay,6947,9499,2552,12267,2293,64222,1520,8082,5530,3061,8.4,44.4,30.4,16.8
IA,Clay,3475,6137,2662,8969,1761,64222,745,3906,4210,2584,6.5,34.1,36.8,22.6
KS,Clay,2246,3129,883,4134,787,64222,397,1688,2044,1542,7,29.8,36,27.2
MN,Clay,-1314,15043,16357,32239,6543,64222,1950,9675,13699,12747,5.1,25.4,36,33.5
MO,Clay,5205,64605,59400,126569,7502,64222,11012,46437,50816,52696,6.8,28.8,31.6,32.7
NC,Clay,3413,5112,1699,6893,536,64222,958,2834,2616,1890,11.5,34.2,31.5,22.8
SD,Clay,-627,2456,3083,5698,1601,64222,286,1510,1793,3372,4.1,21.7,25.8,48.4
TN,Clay,1998,2733,735,3506,673,64222,1084,2579,1114,818,19.4,46.1,19.9,14.6
TX,Clay,4455,5069,614,5741,874,64222,703,2958,2440,1393,9.4,39.5,32.6,18.6
WV,Clay,2038,2679,641,3365,311,64222,1503,3302,785,586,24.3,53.5,12.7,9.5
